sku,status,folder,all_tags
CAR-026,web_ready,Cartier/Santos/Santos Blue Dial Steel Bracelet With Blue Leather Strap,Cartier;Santos;Men;Blue;Stainless Steel;Bracelet;Steel;Standard (37-40mm)
HUB-020,web_ready,Hublot/Big Bang/Big Bang Black Carbon Dial Rose Gold Black Ceramic Bezel,Hublot;Big Bang;Men;Black;Rose Gold;Strap;Rubber;Ceramic Bezel;Oversized (44mm+)
HUB-021,web_ready,Hublot/Big Bang/Big Bang Black Carbon Dial Steel Black Ceramic Bezel,Hublot;Big Bang;Men;Black;Stainless Steel;Strap;Rubber;Ceramic Bezel;Oversized (44mm+)
HUB-022,web_ready,Hublot/Big Bang/Big Bang Black Dial Rose Gold Ceramic Bezel Rubber Strap,Hublot;Big Bang;Men;Black;Rose Gold;Strap;Rubber;Ceramic Bezel;Oversized (44mm+)
HUB-025,web_ready,Hublot/Big Bang Unico/Big Bang Unico Skeleton Dial Yellow Ceramic Rubber Strap,Hublot;Big Bang Unico;Men;Skeleton;Ceramic;Strap;Rubber;Ceramic Bezel;Large (41-43mm)
AP-014,need_photos,NeedMorePhotos/Audemars Piguet/Royal Oak/Audemars Piguet Royal Oak Steel Integrated Bracelet,Audemars Piguet;Royal Oak;Men;White;Stainless Steel;Bracelet;Steel;Octagonal Bezel;Integrated Bracelet Sport;Large (41-43mm)
AP-015,need_photos,NeedMorePhotos/Audemars Piguet/Royal Oak/Audemars Piguet Royal Oak Steel Integrated Bracelet 2,Audemars Piguet;Royal Oak;Men;Blue;Stainless Steel;Strap;Rubber;Octagonal Bezel;Integrated Bracelet Sport;Large (41-43mm)
AP-016,need_photos,NeedMorePhotos/Audemars Piguet/Royal Oak Offshore/Royal Oak Offshore Black Dial Ceramic Rose Gold Chronograph,Audemars Piguet;Royal Oak Offshore;Men;Black;Ceramic;Strap;Rubber;Ceramic Bezel;Chronograph;Integrated Bracelet Sport;Oversized (44mm+)
AP-017,need_photos,NeedMorePhotos/Audemars Piguet/Royal Oak Offshore/Royal Oak Offshore Chronograph Trio Steel,Audemars Piguet;Royal Oak Offshore;Men;Blue;Stainless Steel;Strap;Rubber;Octagonal Bezel;Chronograph;Integrated Bracelet Sport;Large (41-43mm)
AP-018,need_photos,NeedMorePhotos/Audemars Piguet/Royal Oak Offshore/Royal Oak Offshore Steel Ceramic Bezel Leather Strap Chronograph,Audemars Piguet;Royal Oak Offshore;Men;Black;Stainless Steel;Strap;Leather;Ceramic Bezel;Chronograph;Integrated Bracelet Sport;Oversized (44mm+)
CAR-027,need_photos,NeedMorePhotos/Cartier/Santos/Santos Blue Leather Straps,Cartier;Santos;Men;?;Strap;Leather
CAR-028,need_photos,NeedMorePhotos/Cartier/Santos/Santos Blue Steel Bracelet,Cartier;Santos;Men;Blue;Stainless Steel;Bracelet;Steel;Standard (37-40mm)
CAR-029,need_photos,NeedMorePhotos/Cartier/Santos/Santos Steel QuickSwitch Clasp,Cartier;Santos;Men;?;Stainless Steel;Bracelet;Steel
HUB-023,need_photos,NeedMorePhotos/Hublot/Big Bang/Big Bang Pave Diamond Dial Black Leather Strap,Hublot;Big Bang;Men;Black;Diamond Markers;Stainless Steel;Strap;Leather;Diamond Bezel;Diamond-Set;Oversized (44mm+)
HUB-024,need_photos,NeedMorePhotos/Hublot/Big Bang Sang Bleu II/Big Bang Sang Bleu II White Ceramic Rubber Strap,Hublot;Big Bang Sang Bleu II;Men;Black;Ceramic;Strap;Rubber;Ceramic Bezel;Oversized (44mm+)
HUB-026,need_photos,NeedMorePhotos/Hublot/Classic Fusion/Classic Fusion Diamond Bezel Leather Strap,Hublot;Classic Fusion;Men;Black;Diamond Markers;Rose Gold;Two-Tone;Strap;Leather;Diamond Bezel;Diamond-Set;Large (41-43mm)
HUB-027,need_photos,NeedMorePhotos/Hublot/Classic Fusion/Hublot Classic Fusion Black Dial Titanium Leather Strap,Hublot;Classic Fusion;Men;Black;Titanium;Strap;Rubber;Oversized (44mm+)
HUB-028,need_photos,NeedMorePhotos/Hublot/Classic Fusion/Hublot Classic Fusion Black Steel Diamond Bezel Rubber Strap,Hublot;Classic Fusion;Men;Black;Diamond Markers;Stainless Steel;Strap;Rubber;Diamond Bezel;Diamond-Set;Large (41-43mm)
HUB-029,need_photos,NeedMorePhotos/Hublot/Classic Fusion/Hublot Classic Fusion Rose Gold Leather Strap,Hublot;Classic Fusion;Men;Black;Rose Gold;Strap;Leather;Oversized (44mm+)
IWC-007,need_photos,NeedMorePhotos/IWC/Aquatimer Chronograph/Aquatimer Chronograph Blue Dial Steel Rubber Strap,IWC;Aquatimer Chronograph;Men;Blue;Stainless Steel;Strap;Rubber;Rotating Bezel;Chronograph;Oversized (44mm+)
