sku,status,folder,all_tags
BRT-002,need_photos,NeedMorePhotos/Breitling/Navitimer/Navitimer Chronograph Purple Dial Steel Slide Rule Bezel,Breitling;Navitimer;Men;Purple;Stainless Steel;Bracelet;Steel;Chronograph;Large (41-43mm)
CAR-001,need_photos,NeedMorePhotos/Cartier/Ballon Bleu/Ballon Bleu Steel Silver Dial Steel Bracelet,Cartier;Ballon Bleu;Women;Silver;Stainless Steel;Bracelet;Steel;Smooth Bezel;Mid (33-36mm)
CAR-002,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere Medium White Dial Steel Diamond Bezel Bracelet,Cartier;Panthere;Women;White;Stainless Steel;Bracelet;Steel;Diamond Bezel;Diamond-Set;Ladies (<33mm)
CAR-003,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere Medium White Dial Yellow Gold Bracelet,Cartier;Panthere;Women;White;Yellow Gold;Bracelet;Smooth Bezel;Ladies (<33mm)
CAR-004,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere Small White Dial Steel Bracelet,Cartier;Panthere;Women;White;Stainless Steel;Bracelet;Steel;Smooth Bezel;Ladies (<33mm)
CAR-005,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere Small White Dial Steel Diamond Bezel Bracelet,Cartier;Panthere;Women;White;Stainless Steel;Bracelet;Steel;Diamond Bezel;Diamond-Set;Ladies (<33mm)
CAR-006,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere Small White Dial Two Tone Diamond Bezel Bracelet,Cartier;Panthere;Women;White;Rose Gold;Two-Tone;Bracelet;Diamond Bezel;Diamond-Set;Ladies (<33mm)
CAR-007,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere White Dial Two Tone Steel And Gold Bracelet,Cartier;Panthere;Women;White;Yellow Gold;Two-Tone;Bracelet;Smooth Bezel;Ladies (<33mm)
CAR-008,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere White Dial Two Tone Steel And Rose Gold Diamond Bezel Bracelet,Cartier;Panthere;Women;White;Rose Gold;Two-Tone;Bracelet;Diamond Bezel;Diamond-Set;Ladies (<33mm)
CAR-009,need_photos,NeedMorePhotos/Cartier/Panthere/Panthere White Dial Yellow Gold Diamond Bezel Bracelet,Cartier;Panthere;Women;White;Yellow Gold;Bracelet;Diamond Bezel;Diamond-Set;Ladies (<33mm)
CAR-010,need_photos,NeedMorePhotos/Cartier/Santos/Santos Black Dial Steel Bracelet,Cartier;Santos;Men;Black;Stainless Steel;Bracelet;Steel;Standard (37-40mm)
CAR-011,need_photos,NeedMorePhotos/Cartier/Santos/Santos Green Dial Yellow Gold Green Leather Strap,Cartier;Santos;Men;Green;Yellow Gold;Strap;Leather;Standard (37-40mm)
CAR-012,need_photos,NeedMorePhotos/Cartier/Santos/Santos Purple Dial Steel Bracelet,Cartier;Santos;Men;Purple;Stainless Steel;Bracelet;Steel;Standard (37-40mm)
CAR-013,need_photos,NeedMorePhotos/Cartier/Santos/Santos Steel Silver Dial Steel Bracelet,Cartier;Santos;Men;Silver;Stainless Steel;Bracelet;Steel;Mid (33-36mm)
CAR-014,need_photos,NeedMorePhotos/Cartier/Santos/Santos Two Tone Rose Gold Silver Dial Steel Bracelet,Cartier;Santos;Men;Silver;Yellow Gold;Two-Tone;Bracelet;Steel;Mid (33-36mm)
CAR-015,need_photos,NeedMorePhotos/Cartier/Santos/Santos Two Tone Yellow Gold Silver Dial Steel Bracelet,Cartier;Santos;Men;Silver;Yellow Gold;Two-Tone;Bracelet;Steel;Mid (33-36mm)
CAR-016,need_photos,NeedMorePhotos/Cartier/Santos/Santos White Dial Rose Gold Bracelet,Cartier;Santos;Men;White;Rose Gold;Bracelet;Standard (37-40mm)
CAR-017,need_photos,NeedMorePhotos/Cartier/Santos/Santos White Dial Steel Bracelet,Cartier;Santos;Men;White;Stainless Steel;Bracelet;Steel;Standard (37-40mm)
CAR-018,need_photos,NeedMorePhotos/Cartier/Santos/Santos White Dial Two Tone Steel And Gold Bracelet,Cartier;Santos;Men;White;Yellow Gold;Two-Tone;Bracelet;Standard (37-40mm)
CAR-019,need_photos,NeedMorePhotos/Cartier/Santos-Dumont/Santos-Dumont Silver Dial Rose Gold Brown Leather Strap,Cartier;Santos-Dumont;Unisex;Silver;Rose Gold;Strap;Leather;Smooth Bezel;Ladies (<33mm)
